*******************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC
**********************************************
$$SOE
 2015-Jan-01 00:00     21 34 26.93 -15 37 19.6
 2015-Jan-02 00:00     21 37 30.74 -15 21 40.8
 2015-Jan-03 00:00     21 40 34.10 -15 05 52.9
 2015-Jan-04 00:00     21 43 37.03 -14 49 56.2
 2015-Jan-05 00:00     21 46 39.52 -14 33 51.0
 2015-Jan-06 00:00     21 49 41.58 -14 17 37.3
 2015-Jan-07 00:00     21 52 43.20 -14 01 15.4
 2015-Jan-08 00:00     21 55 44.40 -13 44 45.5
 2015-Jan-09 00:00     21 58 45.18 -13 28 07.8
 2015-Jan-10 00:00     22 01 45.55 -13 11 22.5
 2015-Jan-11 00:00     22 04 45.50 -12 54 29.8
 2015-Jan-12 00:00     22 07 45.04 -12 37 29.9
 2015-Jan-13 00:00     22 10 44.19 -12 20 23.0
 2015-Jan-14 00:00     22 13 42.94 -12 03 09.3
 2015-Jan-15 00:00     22 16 41.30 -11 45 49.0
 2015-Jan-16 00:00     22 19 39.27 -11 28 22.4
 2015-Jan-17 00:00     22 22 36.87 -11 10 49.5
 2015-Jan-18 00:00     22 25 34.09 -10 53 10.8
 2015-Jan-19 00:00     22 28 30.95 -10 35 26.2
 2015-Jan-20 00:00     22 31 27.44 -10 17 36.1
 2015-Jan-21 00:00     22 34 23.57 -09 59 40.7
 2015-Jan-22 00:00     22 37 19.35 -09 41 40.2
 2015-Jan-23 00:00     22 40 14.77 -09 23 34.9
 2015-Jan-24 00:00     22 43 09.84 -09 05 24.8
 2015-Jan-25 00:00     22 46 04.58 -08 47 10.3
 2015-Jan-26 00:00     22 48 58.96 -08 28 51.6
 2015-Jan-27 00:00     22 51 53.02 -08 10 28.8
 2015-Jan-28 00:00     22 54 46.74 -07 52 02.3
 2015-Jan-29 00:00     22 57 40.14 -07 33 32.1
 2015-Jan-30 00:00     23 00 33.22 -07 14 58.5
 2015-Jan-31 00:00     23 03 25.99 -06 56 21.8
 2015-Feb-01 00:00     23 06 18.46 -06 37 42.0
 2015-Feb-02 00:00     23 09 10.63 -06 18 59.4
 2015-Feb-03 00:00     23 12 02.52 -06 00 14.2
 2015-Feb-04 00:00     23 14 54.13 -05 41 26.5
 2015-Feb-05 00:00     23 17 45.47 -05 22 36.7
 2015-Feb-06 00:00     23 20 36.55 -05 03 44.7
 2015-Feb-07 00:00     23 23 27.38 -04 44 51.0
 2015-Feb-08 00:00     23 26 17.97 -04 25 55.5
 2015-Feb-09 00:00     23 29 08.32 -04 06 58.6
 2015-Feb-10 00:00     23 31 58.46 -03 48 00.4
 2015-Feb-11 00:00     23 34 48.38 -03 29 01.1
 2015-Feb-12 00:00     23 37 38.10 -03 10 00.8
 2015-Feb-13 00:00     23 40 27.63 -02 50 59.8
 2015-Feb-14 00:00     23 43 16.97 -02 31 58.3
 2015-Feb-15 00:00     23 46 06.13 -02 12 56.4
 2015-Feb-16 00:00     23 48 55.13 -01 53 54.3
 2015-Feb-17 00:00     23 51 43.97 -01 34 52.2
 2015-Feb-18 00:00     23 54 32.65 -01 15 50.3
